Differentially methylated site	Methylation status in ES cells
55687912	methylated
29082799	methylated
29082780	methylated
29082665	methylated
29084335	methylated
14792036	methylated
60928748	methylated
27496182	methylated
5939210	methylated
18921869	methylated
18921878	methylated
18922290	methylated
18922131	methylated
38376254	methylated
38376100	methylated
38376108	methylated
38376111	methylated
38376117	methylated
38376119	methylated
38376122	methylated
38376124	methylated
38376126	methylated
57832143	methylated
57832135	methylated
57832133	methylated
57832113	methylated
39135344	methylated
14631056	methylated
14630955	methylated
14630960	unmethylated
29083057	methylated
48745418	methylated
48745393	methylated
51792235	methylated
12362598	methylated
12362361	methylated
12362366	methylated
38067807	methylated
48744549	methylated
19153822	methylated
19153641	methylated
19153643	methylated
19153667	methylated
19153672	methylated
18920778	methylated
18920642	methylated
18920593	methylated
18920597	methylated
18920599	methylated
8419076	unmethylated
42348939	methylated
42348918	methylated
56610796	methylated
58087088	methylated
59609160	methylated
33445366	methylated
61250878	methylated
60926028	methylated
7772612	methylated
33133205	methylated
33133215	methylated
39479331	methylated
39479325	methylated
39479109	methylated
5734185	methylated
30963999	methylated
30963923	methylated
30963945	methylated
13143646	methylated
49663732	methylated
49663727	methylated
49663717	methylated
41469118	methylated
41468649	methylated
34133067	methylated
34132810	methylated
31856220	methylated
13610747	methylated
13610739	methylated
17308723	methylated
36071710	methylated
38494977	methylated
38494762	methylated
38494764	methylated
38494769	methylated
36070814	methylated
20455937	methylated
20455823	methylated
29083570	methylated
26125383	methylated
26125376	methylated
3038372	methylated
3038368	methylated
3038360	methylated
3038358	methylated
13144850	methylated
13144839	methylated
13144832	methylated
18923834	methylated
20144105	methylated
20144087	methylated
20143976	methylated
20143985	methylated
17309300	methylated
30964025	methylated
42782626	methylated
35654873	methylated
59608054	methylated
59607888	methylated
59607890	methylated
59607904	methylated
40213072	methylated
38494830	methylated
38494837	methylated
38376082	methylated
9336022	methylated
49664538	methylated
49664316	methylated
13144761	methylated
13925777	methylated
13925764	methylated
3159233	methylated
3159257	methylated
35078239	methylated
35078233	unmethylated
48744361	methylated
48744354	methylated
61305031	methylated
27690911	methylated
9640187	methylated
9640114	methylated
60927918	methylated
60927939	methylated
30964947	methylated
30964937	methylated
30964838	methylated
3085661	methylated
3085673	methylated
20144035	methylated
20144022	methylated
39601794	methylated
39601771	methylated
30964016	methylated
30963857	methylated
14665710	methylated
19153784	methylated
19153798	methylated
24833241	methylated
60926662	methylated
53546886	methylated
53689414	methylated
14791873	methylated
14791884	methylated
14791889	methylated
33151872	methylated
12378138	methylated
38874617	methylated
20150471	methylated
18921043	methylated
13927617	methylated
12989894	methylated
12989641	methylated
8248134	methylated
18490053	methylated
18489933	methylated
45191399	methylated
38375933	methylated
38375929	methylated
38375921	methylated
38375915	methylated
38375822	methylated
38375826	methylated
18922922	methylated
18922938	methylated
59607364	methylated
12544188	methylated
27493132	methylated
39301309	methylated
50400842	methylated
50400847	methylated
50400852	methylated
45190944	methylated
18920839	methylated
18920616	methylated
52986810	methylated
52986819	methylated
52986826	methylated
52986833	methylated
52986841	methylated
45203277	methylated
45203294	methylated
45203297	methylated
35078707	methylated
35078685	methylated
35653082	methylated
35653089	methylated
12896418	methylated
59607810	methylated
59607602	methylated
11422307	methylated
11422316	methylated
28441375	methylated
52989885	methylated
61312580	methylated
49664155	methylated
57017456	methylated
57017437	methylated
7816162	methylated
59607318	methylated
59607313	methylated
37748486	methylated
33373612	methylated
33373608	methylated
12992265	methylated
12992270	methylated
13138928	methylated
16082974	methylated
16082692	methylated
47011069	methylated
52989427	methylated
29686202	methylated
9159310	methylated
9159305	methylated
12544307	methylated
12544322	methylated
48744339	methylated
48744337	methylated
36691221	unmethylated
49663926	methylated
21970244	unmethylated
8419283	methylated
35077234	methylated
35077232	methylated
35077080	methylated
60931985	methylated
45191244	methylated
38869760	unmethylated
9640140	unmethylated
45189953	methylated
45189940	methylated
45189937	methylated
26083184	methylated
26083094	methylated
40109715	methylated
9156735	methylated
14630918	methylated
14630938	methylated
18923403	methylated
9509960	methylated
33373357	methylated
33373366	methylated
33373379	methylated
33373384	methylated
33373391	methylated
27496212	methylated
50402069	methylated
35078291	methylated
35077862	methylated
8303698	methylated
30965177	methylated
30965169	methylated
30965001	methylated
18562403	methylated
52929792	methylated
38872710	methylated
38872696	methylated
8019836	methylated
8019843	methylated
10675001	methylated
19826231	methylated
58562945	methylated
36070934	methylated
42346328	methylated
42346321	methylated
3228049	methylated
3228030	methylated
3227852	methylated
3227854	methylated
3227866	methylated
59603946	methylated
59603949	methylated
14792067	methylated
50834904	methylated
16856690	methylated
26125360	methylated
26125354	methylated
20737522	methylated
57345857	methylated
45203355	methylated
57832106	methylated
57832101	methylated
36071185	methylated
36071173	methylated
50541030	methylated
59608104	methylated
59608083	methylated
45709394	methylated
60929660	methylated
45187618	methylated
45956837	methylated
45956862	methylated
45956868	methylated
45700293	methylated
8298701	methylated
35078214	methylated
38874290	methylated
13923662	methylated
13923664	methylated
40106940	methylated
40106786	methylated
3286970	methylated
30966863	methylated
18923500	methylated
18923382	methylated
18923386	methylated
43641941	methylated
43641928	methylated
43641715	methylated
43641729	methylated
35905338	methylated
6896059	methylated
6895835	methylated
37398512	methylated
37398527	methylated
9672905	methylated
9672910	methylated
30964534	methylated
30964448	methylated
54310465	methylated
36071460	methylated
24686127	methylated
44922967	methylated
35092413	methylated
9479229	methylated
30964707	methylated
30964698	methylated
9502593	methylated
56403277	methylated
30964083	methylated
9485127	unmethylated
13139167	methylated
30964329	methylated
30964340	methylated
18924252	methylated
18924250	methylated
18923942	methylated
18923950	methylated
18923961	methylated
33441217	methylated
33441111	methylated
33441113	methylated
49933386	methylated
36072262	methylated
36072268	methylated
36072276	methylated
36072287	methylated
31147320	methylated
13947998	methylated
9507453	methylated
9507269	methylated
60928085	methylated
59224029	methylated
59224025	methylated
29082833	unmethylated
29082611	methylated
59609348	methylated
45701083	methylated
45187841	methylated
45187688	methylated
49823421	methylated
38375837	methylated
5317030	methylated
5317027	methylated
9830160	methylated
4957178	methylated
4957174	methylated
4957170	methylated
4957163	methylated
4957161	methylated
4957033	methylated
4957039	methylated
4957047	methylated
29690254	methylated
11422581	methylated
4977715	unmethylated
4977618	methylated
12362511	methylated
12362376	methylated
41411249	unmethylated
5406692	methylated
9830069	methylated
52986296	methylated
39130905	methylated
36062212	methylated
36062214	methylated
29082328	methylated
59609430	methylated
49663762	methylated
45699796	methylated
18920527	methylated
18920523	methylated
18920519	methylated
18920507	methylated
18920369	methylated
18920386	methylated
18924003	methylated
18924019	methylated
18924021	methylated
18924029	methylated
30964729	methylated
34630131	methylated
34630107	methylated
34629983	methylated
51592394	methylated
51592378	methylated
51592256	methylated
51592276	methylated
18922970	methylated
31856142	methylated
61251345	methylated
61251341	methylated
61251335	methylated
61251333	methylated
50401490	methylated
50401112	methylated
50401117	methylated
8248057	methylated
8248048	methylated
8247979	methylated
59609218	methylated
30965137	methylated
45203339	methylated
45203332	methylated
35337700	methylated
38067837	methylated
32466264	methylated
32466246	methylated
45203272	methylated
18920931	methylated
59603788	methylated
59603799	methylated
59603801	methylated
59603816	methylated
12544557	methylated
60926047	methylated
60925923	methylated
32997988	methylated
38376056	methylated
38376076	methylated
5185154	methylated
5185036	methylated
35654905	methylated
48744650	methylated
48744647	unmethylated
19155518	methylated
19155513	unmethylated
9335973	methylated
9335964	methylated
9335960	methylated
9632971	methylated
9632959	methylated
9632947	methylated
60914003	methylated
45422534	methylated
40032821	methylated
38341371	methylated
57329773	unmethylated
38380009	methylated
52987096	methylated
40106879	unmethylated
50108098	methylated
50108093	methylated
50108085	methylated
50108081	methylated
54308866	methylated
60932087	methylated
7680763	methylated
7680761	methylated
60023368	methylated
13923931	methylated
49663639	methylated
29082381	methylated
11388606	methylated
13269749	methylated
13269735	methylated
18923193	methylated
18922913	methylated
36073321	methylated
36073319	methylated
36073317	methylated
36073296	methylated
36073113	methylated
13926422	methylated
13925429	methylated
42721406	methylated
4043504	methylated
4043492	methylated
38872019	methylated
38872026	methylated
12989059	methylated
48306575	methylated
48306582	unmethylated
4957089	methylated
9479413	methylated
50402371	methylated
50402363	methylated
3001413	methylated
3001418	methylated
27061824	methylated
27061837	methylated
27061840	methylated
49663852	methylated
49663837	unmethylated
49663832	methylated
52986848	methylated
30306220	methylated
18920556	methylated
18920547	methylated
7824077	methylated
7824068	methylated
12988549	methylated
60929895	methylated
60929880	methylated
60929871	methylated
60929757	methylated
49843565	methylated
25095807	methylated
8946805	methylated
18923739	methylated
48516728	methylated
48516736	methylated
48516738	methylated
48516742	methylated
33019495	methylated
37960921	methylated
36071779	unmethylated
28152214	methylated
33867260	methylated
53719900	methylated
47599785	methylated
47911677	methylated
47911657	methylated
15781593	methylated
18920577	methylated
18920574	methylated
36070962	methylated
18923053	methylated
49666080	methylated
49666078	methylated
49666074	methylated
49666072	methylated
49666068	methylated
49665860	methylated
47281263	methylated
47281274	methylated
19153635	methylated
18920693	methylated
18920696	methylated
61302275	methylated
18247877	methylated
13926329	methylated
34955741	methylated
34955737	methylated
25962787	methylated
25962767	methylated
25962765	methylated
8247680	methylated
20648654	methylated
29082690	methylated
19491889	methylated
8297985	methylated
38493708	methylated
38493700	methylated
20063512	methylated
20063520	methylated
20456307	methylated
20456103	methylated
20456108	methylated
13928860	methylated
13928657	methylated
13947686	methylated
35077497	methylated
35077249	methylated
35077253	methylated
30965227	methylated
30965053	methylated
30965060	methylated
40066272	methylated
40066258	methylated
40066110	methylated
9047063	methylated
9047059	methylated
36649888	methylated
35691299	methylated
35691314	methylated
39163122	methylated
39157326	methylated
20456190	methylated
6120900	methylated
5955592	methylated
51778300	methylated
30186020	methylated
30185824	methylated
8243689	unmethylated
45187703	methylated
45187554	methylated
59604177	methylated
5316457	methylated
18029340	methylated
18029095	methylated
52989915	methylated
52989917	methylated
9071345	methylated
59224295	methylated
59224267	methylated
59224069	methylated
59224074	methylated
8483967	methylated
25844199	methylated
59604408	methylated
9550086	methylated
9550083	methylated
48744599	methylated
48744586	methylated
48744581	methylated
35078724	methylated
35078715	methylated
57550928	methylated
60928225	methylated
30964876	methylated
14791993	methylated
8245040	unmethylated
48745363	methylated
57531495	methylated
24833282	methylated
24833280	methylated
52989407	methylated
32613910	methylated
32613905	methylated
11221728	methylated
36425409	unmethylated
22441463	methylated
22441476	unmethylated
52987158	methylated
52987166	methylated
52987174	methylated
52985983	methylated
34131576	methylated
34131570	methylated
45187585	methylated
7842062	methylated
7842081	methylated
25868879	methylated
3083842	methylated
3083844	methylated
13611858	methylated
54309039	methylated
54309031	methylated
54309017	methylated
41143910	methylated
41143923	methylated
41143932	methylated
29085610	methylated
56610834	methylated
56610851	unmethylated
56610857	methylated
57543705	methylated
3001373	methylated
16082857	methylated
38874134	methylated
9829890	methylated
9829876	methylated
9829871	methylated
59605429	methylated
45187626	methylated
45699405	methylated
34131550	methylated
34131545	methylated
34131533	methylated
34131528	methylated
58899158	methylated
58899148	methylated
34137665	methylated
33248100	methylated
45189255	methylated
51698358	methylated
12660131	methylated
4958009	methylated
4958017	methylated
26904102	methylated
26904088	methylated
33894707	methylated
55657326	unmethylated
55566551	methylated
37295703	methylated
13925515	methylated
13925512	methylated
13925488	methylated
7841439	methylated
30964813	methylated
30964662	methylated
59607176	methylated
13043270	methylated
60926720	methylated
60926716	methylated
60926713	methylated
13048134	methylated
13048125	methylated
10078888	methylated
39966064	methylated
39966055	methylated
39966041	methylated
39965920	methylated
39965927	methylated
12362381	methylated
29689523	methylated
29689509	methylated
31856369	methylated
31856355	unmethylated
31856269	methylated
31856284	methylated
31856289	methylated
45186882	methylated
45186865	methylated
45186863	methylated
9765603	methylated
38375853	methylated
38375704	methylated
38375707	methylated
39606839	methylated
39606666	methylated
25758022	methylated
30965147	methylated
28026333	methylated
28026335	methylated
28026338	methylated
14228759	methylated
14791906	methylated
14791930	methylated
45203790	methylated
13267311	methylated
13267298	methylated
60927986	methylated
60927989	methylated
60927999	methylated
60928002	methylated
60928008	methylated
60928011	unmethylated
60928013	methylated
59603890	methylated
59603892	methylated
59603903	methylated
59603718	methylated
13143726	methylated
60927091	methylated
13268191	methylated
18920485	methylated
18920487	methylated
11221638	methylated
18920532	methylated
18920406	methylated
18920411	methylated
12449341	methylated
12449209	methylated
48744515	methylated
48744429	methylated
47189648	methylated
27493380	unmethylated
38375949	methylated
38375957	methylated
7938980	methylated
55469394	methylated
55469401	methylated
4957214	methylated
4957207	methylated
4957205	methylated
4957009	methylated
16082684	methylated
16082595	methylated
16082608	methylated
48744682	methylated
48744698	methylated
54235806	methylated
52986523	methylated
39962803	methylated
13144857	methylated
18924272	methylated
18924068	methylated
11423451	methylated
11423447	methylated
38376038	methylated
38376028	methylated
39601936	methylated
39601657	methylated
52986137	methylated
52986140	methylated
52986156	methylated
9660901	methylated
39601513	methylated
57830911	methylated
57830783	methylated
59603920	methylated
52986696	methylated
52986446	methylated
18923935	methylated
18923687	methylated
47986053	methylated
47986057	methylated
38376313	methylated
38376293	methylated
7841455	methylated
46876975	methylated
46876971	methylated
46876961	methylated
7774727	methylated
39597411	methylated
39597413	methylated
35653116	methylated
11423462	methylated
16082554	methylated
16082355	methylated
8244760	methylated
27493331	methylated
27493324	methylated
29083488	unmethylated
29083471	methylated
29083330	methylated
29083360	methylated
30185992	methylated
41334221	methylated
13926847	methylated
34132515	methylated
34132510	methylated
34132505	methylated
3142429	methylated
3142414	methylated
21934015	methylated
21934005	methylated
25398272	methylated
3228081	methylated
3227892	methylated
28665950	methylated
5639584	methylated
5639590	methylated
55445308	methylated
55445117	methylated
8248032	methylated
43868362	methylated
43868381	methylated
15391816	unmethylated
15391803	methylated
46659399	methylated
46659242	methylated
46659245	methylated
41468428	methylated
15158555	methylated
15158576	methylated
48744925	methylated
4065140	methylated
4065134	methylated
4065034	methylated
43574864	methylated
43574862	methylated
43574852	methylated
43574847	methylated
16083371	methylated
18489736	methylated
36071925	methylated
32085671	methylated
5853968	methylated
57832020	methylated
29082752	methylated
9552960	methylated
9552951	methylated
9552937	methylated
9552816	methylated
9552823	methylated
41869867	methylated
32518312	methylated
25347044	methylated
25347051	unmethylated
60023400	methylated
45545907	methylated
3142529	methylated
3142502	methylated
23914906	methylated
23914893	methylated
42417114	methylated
61302227	methylated
61302019	methylated
14312773	methylated
6896300	unmethylated
33441085	methylated
15176655	methylated
52985990	methylated
52985995	methylated
53730418	methylated
21897438	methylated
21897429	methylated
14110963	methylated
14110865	methylated
14110883	methylated
36070924	methylated
25705800	methylated
42346301	methylated
42346299	methylated
3001068	methylated
6183883	methylated
6183909	methylated
29083370	methylated
29083030	methylated
53477811	methylated
53477822	methylated
53477825	methylated
36071031	methylated
43641623	methylated
50400892	methylated
50400882	methylated
50400627	methylated
61305117	methylated
8248083	methylated
13927340	methylated
50424661	methylated
31055988	methylated
31055851	methylated
31055853	methylated
31055859	methylated
31055861	methylated
31055865	methylated
48849248	methylated
61302375	methylated
36072055	methylated
9490438	methylated
12372101	methylated
12372099	methylated
31856392	methylated
29082585	methylated
15362523	methylated
15362520	methylated
9550480	methylated
9550478	methylated
9550474	methylated
11734566	methylated
11734553	methylated
11734543	methylated
11734541	methylated
11734471	methylated
10179197	methylated
13947726	methylated
38376157	methylated
49663868	methylated
8248874	methylated
8248658	methylated
8248660	methylated
38379917	methylated
59607833	methylated
47399077	methylated
47399083	methylated
47399085	methylated
53154590	methylated
12193155	methylated
12897147	methylated
34132297	methylated
34132288	methylated
56610820	methylated
39233458	methylated
10427434	methylated
12362627	methylated
12362453	methylated
12347608	methylated
45203257	methylated
49933477	methylated
46372816	methylated
16671844	methylated
29075442	methylated
30322673	methylated
34131455	methylated
8155357	methylated
13947614	methylated
13947611	methylated
3227842	methylated
3227836	methylated
3227828	methylated
18490062	methylated
28746273	methylated
54310561	methylated
54310452	methylated
52986061	methylated
52986077	methylated
10567263	methylated
60932227	methylated
60932211	methylated
9549868	methylated
52986958	methylated
11424079	methylated
11424071	methylated
50343045	methylated
12544294	methylated
19153687	methylated
50400867	methylated
13926484	methylated
13926490	methylated
13926493	methylated
49347999	methylated
49348005	methylated
4063289	methylated
4063153	methylated
45189673	methylated
13928020	methylated
34132242	methylated
28077117	methylated
28077122	methylated
18923605	methylated
30964820	methylated
5623920	methylated
7875967	methylated
58619511	methylated
18923995	methylated
18923776	methylated
18923783	methylated
18923789	methylated
19154342	methylated
5184926	methylated
45186855	methylated
59873440	methylated
59873163	methylated
59873173	methylated
31102825	methylated
9786701	methylated
18923726	methylated
35691550	methylated
35691542	methylated
35691439	unmethylated
35691451	methylated
35691456	methylated
35691461	methylated
51701423	methylated
10680487	methylated
39247067	methylated
12989624	methylated
50400822	methylated
50400818	methylated
50400816	methylated
50400805	methylated
53565700	methylated
53565696	methylated
16671723	methylated
16671699	methylated
50401743	methylated
50108007	methylated
59873387	methylated
59873246	methylated
18921864	methylated
18921685	methylated
45186929	methylated
45186926	methylated
45186909	methylated
45190083	methylated
45189925	methylated
46035972	methylated
58757090	methylated
58757088	unmethylated
7075545	methylated
9337453	methylated
9337439	methylated
33373603	methylated
11219280	methylated
39106917	methylated
8903578	methylated
9750982	methylated
9765438	methylated
9765289	methylated
9765299	methylated
9765302	methylated
9765304	methylated
9765317	methylated
19598441	methylated
61251368	methylated
61251261	methylated
35077459	methylated
35077435	methylated
53608231	methylated
30070373	methylated
39368241	methylated
59604545	methylated
13144195	methylated
3080336	methylated
7815087	methylated
57832036	methylated
57832043	methylated
57832057	methylated
59603824	methylated
12544245	methylated
35076983	methylated
35076976	methylated
13926278	methylated
33445552	methylated
33445549	methylated
56967939	methylated
45599685	methylated
55783509	methylated
55563562	methylated
4998876	methylated
4998868	methylated
55900572	methylated
55900558	methylated
3228013	methylated
3228009	methylated
3227904	unmethylated
3227912	methylated
13928823	methylated
54308824	methylated
8247702	methylated
9199022	methylated
48339217	methylated
59607262	methylated
59607278	methylated
59607280	methylated
59607287	methylated
52986889	methylated
35077450	methylated
35077305	methylated
31009542	methylated
43348796	methylated
30964921	methylated
59609324	methylated
58975118	methylated
30964580	methylated
30964567	methylated
6897078	methylated
6897090	methylated
10832223	methylated
10832217	methylated
7935396	methylated
7935378	methylated
12988482	methylated
12988491	methylated
12988719	unmethylated
22725305	methylated
45187654	methylated
45187645	methylated
46621225	methylated
22832808	methylated
37750889	methylated
16084154	methylated
9124079	unmethylated
42346354	methylated
42346345	methylated
52987130	methylated
10803869	methylated
32442177	methylated
32442181	methylated
57832147	methylated
13267182	methylated
39039628	methylated
9672347	methylated
4864025	methylated
4864036	methylated
13926851	methylated
48246928	methylated
39605136	methylated
18920416	methylated
7813356	methylated
7813363	methylated
12544385	methylated
12544202	methylated
12544209	methylated
12095079	methylated
24686050	methylated
19154918	methylated
19154928	methylated
60928062	methylated
37422325	methylated
41002728	methylated
6896778	methylated
6896768	methylated
6896622	unmethylated
45190118	methylated
45190092	unmethylated
38491700	methylated
38491716	methylated
29995304	methylated
55977585	methylated
38200247	methylated
13977125	unmethylated
13977108	unmethylated
7741339	methylated
44885809	methylated
32442189	methylated
32442191	methylated
59603666	methylated
3049168	methylated
35691283	methylated
6099636	methylated
44713327	methylated
44713312	methylated
3083640	methylated
17859415	methylated
9492983	methylated
57831987	methylated
49664065	methylated
39965849	methylated
39965852	methylated
13949684	methylated
13949574	methylated
13949576	methylated
12362495	methylated
12362493	methylated
12362488	methylated
12362391	methylated
12362396	methylated
16587098	methylated
33122322	methylated
34131621	methylated
34131619	methylated
34131614	methylated
29084199	methylated
39385961	methylated
39385967	methylated
24287324	methylated
24287316	methylated
24287308	methylated
24287286	methylated
12371945	methylated
12371957	methylated
10680476	methylated
30226287	methylated
31860293	methylated
31860288	methylated
31860116	methylated
31860135	methylated
52986054	methylated
32462329	methylated
38378189	methylated
8519089	methylated
35078308	methylated
28096282	methylated
29084357	methylated
9485297	methylated
9485287	methylated
61302127	methylated
3248133	methylated
47024675	methylated
47024667	methylated
47024658	methylated
12546251	methylated
8441243	unmethylated
34132831	methylated
18721414	methylated
31802025	methylated
45187846	methylated
18490252	methylated
18490229	methylated
18490219	methylated
16082479	methylated
12991258	methylated
18488803	methylated
12372082	methylated
12366609	methylated
58619499	methylated
52986269	methylated
47453156	methylated
52931836	methylated
52931824	methylated
52931809	methylated
52931719	methylated
45187475	methylated
17859271	methylated
17859128	methylated
7397685	methylated
7397673	methylated
29082289	unmethylated
39480919	methylated
21791281	methylated
21791279	methylated
21791189	methylated
30967315	methylated
30967111	methylated
60926773	methylated
60926788	methylated
5406642	methylated
8244218	methylated
57831800	methylated
9502769	methylated
52931841	methylated
41328069	methylated
7840106	methylated
34630204	methylated
29594803	methylated
34784369	methylated
34784379	methylated
60926875	methylated
41145674	methylated
28531758	methylated
25517941	methylated
25517949	methylated
52931851	methylated
52931856	methylated
56013911	methylated
6673905	methylated
6673918	methylated
18920432	methylated
18920443	methylated
9225741	methylated
19153333	methylated
19153342	methylated
45190126	methylated
29075387	methylated
47857863	methylated
7680883	methylated
31722736	methylated
10830438	methylated
10830449	methylated
42507426	methylated
42507443	methylated
41143132	methylated
9995853	methylated
41101184	methylated
41101201	methylated
51682995	methylated
31859794	methylated
42067680	methylated
38375734	methylated
29160630	methylated
45203242	methylated
45203232	methylated
40119869	methylated
18921169	methylated
38799686	methylated
38799682	methylated
13933010	methylated
6043285	methylated
37025873	methylated
9830351	methylated
54892301	methylated
5666313	methylated
55478529	methylated
39606582	methylated
19154416	methylated
13256119	methylated
57831774	methylated
39248667	methylated
34784291	methylated
34784300	methylated
34784304	methylated
57832182	methylated
18839301	methylated
12219185	methylated
37295592	methylated
3142362	methylated
52987149	methylated
25547372	methylated
3274854	methylated
39470888	methylated
18290717	methylated
18923856	methylated
60850172	methylated
34131255	methylated
5184850	methylated
30482179	methylated
21068547	methylated
56326566	methylated
35077138	methylated
35076957	methylated
35076959	methylated
35076961	methylated
14792108	methylated
14792098	methylated
